nome_coluna,chave,valor
v0502,19,Parente do(a) empregado(a) doméstico(a)
v0502,16,Convivente
v0502,20,Individual em domicílio coletivo
v0502,18,Empregado(a) doméstico(a)
v0502,17,Pensionista
v0613,NA,Para as pessoas maiores de 10 anos de idade
v0619,NA,Se não naturais do município onde foi realizada a entrevista
v0620,NA,Para os não naturais da unidade da federação onde foi realizada a entrevista
v0625,NA,Para os não migrantes e os que moravam no município há 10 anos ou mais
v0629,NA,Para os que não frequentavam e os que nunca frequentaram escola ou creche
v0630,NA,"Para os que não frequentavam, os que nunca frequentaram escola ou creche, e para quem não frequentava o curso regular do ensino fundamental"
v0631,NA,"Para os que não frequentavam ou nunca frequentaram escola ou creche, e para quem não frequentava o curso regular do ensino médio"
v0632,NA,"Para os que não frequentavam ou nunca frequentaram escola ou creche, e para quem não frequentava o curso superior de graduação"
v0633,NA,Para os que frequentavam escola ou creche ou aqueles que nunca frequentaram
v0634,NA,Para os que frequentavam escola ou creche ou aqueles que nunca frequentaram
v0635,NA,"Os que frequentavam escola ou creche mas não frequentavam especialização de nível superior, mestrado ou doutorado; os que não frequentavam escola ou creche, mas já frequentaram até no máximo regular ou  supletivo do ensino médio ou do 2º grau; ou os que não frequentavam escola ou creche, mas já frequentaram e não concluíram o superior de graduação; os que nunca frequentaram escola ou creche"
v0636,NA,Para os que não frequentavam escola ou creche ou aqueles que nunca frequentaram
v0637,NA,Para os menores de 10 anos de idade
v0639,NA,Os menores de 10 anos de idade; para quem não vive em companhia de cônjuge ou companheiro(a) mas já viveu antes; ou para quem nunca viveu em companhia de cônjuge ou companheiro(a)
v0640,NA,Para os menores de 10 anos de idade
v0641,NA,Para os menores de 10 anos de idade
v0642,NA,Para os menores de 10 anos de idade
v0643,NA,Para os menores de 10 anos de idade
v0644,NA,Para os menores de 10 anos de idade
v0645,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio."
v0648,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio."
v0649,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio."
v0650,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores do domicílio; ou era empregado com carteira de trabalho assinada; ou militar do exército, marinha, aeronáutica, polícia militar ou corpo de bombeiros; ou empregado pelo regime jurídico dos funcionários públicos; ou trabalhou como “não remunerado” e tinha apenas um trabalho."
v0651,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores; ou era não remunerado com apenas um trabalho"
v0652,NA,"Para quem, na semana de 25 a 31 de julho de 2010: era menor de 10 anos de idade; ou não trabalhou ganhando em dinheiro, produtos, mercadorias ou benefícios; e não tinha algum trabalho remunerado do qual estava temporariamente afastado(a); e não ajudou sem qualquer pagamento no trabalho remunerado de morador do domicílio; e trabalhou ou não na plantação, criação de animais ou pesca, somente para alimentação dos moradores; ou tinha apenas um trabalho"
