nome_coluna,chave,valor
bairros_fortaleza,2,ALAG NOVO
bairros_fortaleza,1,ALAGADICO
bairros_fortaleza,3,ALDEOTA
bairros_fortaleza,4,ALTO ALEGRE
bairros_fortaleza,5,ALTO BALANC
bairros_fortaleza,6,ALVARO WEYN
bairros_fortaleza,7,AMADEU FURT
bairros_fortaleza,8,ANT BEZERRA
bairros_fortaleza,9,ANT DIOGO
bairros_fortaleza,10,BARRA CEARA
bairros_fortaleza,11,BELA VISTA
bairros_fortaleza,12,BENFICA
bairros_fortaleza,13,BOM FUTURO
bairros_fortaleza,14,BOM JARDIM
bairros_fortaleza,15,BONSUCESSO
bairros_fortaleza,24,C ESPERANCA
bairros_fortaleza,16,CACHOEIRINH
bairros_fortaleza,17,CAJAZEIRAS
bairros_fortaleza,18,CAMBEBA
bairros_fortaleza,19,CASTELAO
bairros_fortaleza,20,CENTRO
bairros_fortaleza,21,CIDADE FUNC
bairros_fortaleza,22,COCO
bairros_fortaleza,23,CONJ CEARA
bairros_fortaleza,25,CR REDENTOR
bairros_fortaleza,9997,Código não encontrado nos dicionários oficiais.
bairros_fortaleza,999997,Código não encontrado nos dicionários oficiais.
bairros_fortaleza,26,DAMAS
bairros_fortaleza,27,DEMOC ROCHA
bairros_fortaleza,28,DIAS MACEDO
bairros_fortaleza,29,DION TORRES
bairros_fortaleza,30,ED QUEIROZ
bairros_fortaleza,31,FARIAS BRIT
bairros_fortaleza,32,FATIMA
bairros_fortaleza,0,FORA DO CE
bairros_fortaleza,33,GENIBAU
bairros_fortaleza,34,GR PORTUGAL
bairros_fortaleza,35,HENR JORGE
bairros_fortaleza,-1,IGNORADO
bairros_fortaleza,36,ITAPERI
bairros_fortaleza,39,J AMERICA
bairros_fortaleza,42,J BONIFACIO
bairros_fortaleza,37,JACARECANGA
bairros_fortaleza,38,JANGURUSSU
bairros_fortaleza,40,JOAQ TAVORA
bairros_fortaleza,41,JOQUEI CLUB
bairros_fortaleza,43,LAG REDONDA
bairros_fortaleza,49,M CASTELO
bairros_fortaleza,44,MAN SATIRO
bairros_fortaleza,45,MARAPONGA
bairros_fortaleza,46,MEIRELES
bairros_fortaleza,47,MESSEJANA
bairros_fortaleza,48,MONDUBIM
bairros_fortaleza,50,MONTESE
bairros_fortaleza,51,MOURA BRASI
bairros_fortaleza,52,MUCURIPE
bairros_fortaleza,99,OUTROS CE
bairros_fortaleza,55,P PR VARGAS
bairros_fortaleza,56,P SAO JOSE
bairros_fortaleza,53,PAPICU
bairros_fortaleza,54,PARANGABA
bairros_fortaleza,57,PARQUELANDI
bairros_fortaleza,58,PASSARE
bairros_fortaleza,61,PF J WALTER
bairros_fortaleza,59,PICI
bairros_fortaleza,60,PR IRACEMA
bairros_fortaleza,62,PRES T NEVE
bairros_fortaleza,63,ROD TEOFILO
bairros_fortaleza,64,SERRINHA
bairros_fortaleza,65,TAUAPE
bairros_fortaleza,66,VARJOTA
bairros_fortaleza,67,VICEN PINZO
bairros_fortaleza,68,VILA ELLERY
bairros_fortaleza,69,VILA PERI
bairros_fortaleza,70,VILA UNIAO
bairros_fortaleza,71,VILA VELHA
bairros_rj,10,A COSMOS
bairros_rj,20,A SANTA
bairros_rj,30,ABOLICAO
bairros_rj,40,ACARI
bairros_rj,50,ANCHIETA
bairros_rj,60,ANDARAI
bairros_rj,70,ANIL
bairros_rj,80,AT B VISTA
bairros_rj,90,B FILHO
bairros_rj,100,B GUANABARA
bairros_rj,110,B GUARATIBA
bairros_rj,120,B PINA
bairros_rj,130,B RIBEIRO
bairros_rj,140,B TIJUCA
bairros_rj,150,BANCARIOS
bairros_rj,160,BANGU
bairros_rj,170,BENFICA
bairros_rj,180,BONSUCESSO
bairros_rj,190,BOTAFOGO
bairros_rj,200,C BARROS
bairros_rj,210,C DEUS
bairros_rj,220,C FALSO
bairros_rj,230,C NETO
bairros_rj,240,C NOVA
bairros_rj,250,C UNIVERSIT
bairros_rj,260,C VELHO
bairros_rj,270,CACHAMBI
bairros_rj,280,CACHAMORRA
bairros_rj,290,CACUIA
bairros_rj,300,CAJU
bairros_rj,310,CAMORIM
bairros_rj,320,CAMPINHO
bairros_rj,330,CASCADURA
bairros_rj,340,CATETE
bairros_rj,350,CATUMBI
bairros_rj,360,CAVALCANTI
bairros_rj,370,CENTRO
bairros_rj,380,COCOTA
bairros_rj,390,COLEGIO
bairros_rj,400,COPACABANA
bairros_rj,410,CORDOVIL
bairros_rj,420,COSMOS
bairros_rj,430,CPO AFONSOS
bairros_rj,440,CPO GRANDE
bairros_rj,450,CURICICA
bairros_rj,9997,Código não encontrado nos dicionários oficiais.
bairros_rj,999997,Código não encontrado nos dicionários oficiais.
bairros_rj,460,D CASTILHO
