type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,3.7929983072942887e-4,0.0024094086215693832,-0.00557972257876869,0.006338322240227548,-0.004343054291586858,0.005101653953045715
dynamic,ATT(-5),-5,-0.006066805759509824,0.002147615903801865,-0.011378354486937392,-7.552570320822558e-4,-0.010276055583586914,-0.0018575559354327325
dynamic,ATT(-4),-4,0.001905186222409162,0.002070237256727764,-0.003214987290451907,0.007025359735270231,-0.002152404240230256,0.00596277668504858
dynamic,ATT(-3),-3,0.0019404912463837456,0.001721191733125732,-0.0023164123012006524,0.006197394793968144,-0.0014329825610307648,0.005313965053798256
dynamic,ATT(-2),-2,3.720332585250675e-4,0.001497599647142523,-0.003331875567021476,0.004075942084071611,-0.00256320811313417,0.003307274630184305
dynamic,ATT(-1),-1,-2.4517220576557693e-5,0.001682216799584789,-0.004185026781561913,0.004135992340408797,-0.003321601561950978,0.0032725671207978623
dynamic,ATT(0),0,7.935883870169441e-4,0.001718145200940453,-0.0034557803848549356,0.005042957158888824,-0.0025739143270366773,0.0041610911010705656
dynamic,ATT(1),1,0.002516805987780156,0.0034168635115921268,-0.005933884382254108,0.01096749635781442,-0.004180123435029468,0.00921373541058978
dynamic,ATT(2),2,0.005505997382178569,0.006718537695879804,-0.011110493623289808,0.022122488387646945,-0.0076620945305205645,0.018674089294877703
dynamic,ATT(3),3,0.004622074292190485,0.013442435941998569,-0.028624165594025384,0.03786831417840635,-0.02172461601861346,0.030968764602994428
