type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,-0.004198402455263828,0.005445907660916021,-0.015665411081565942,0.007268606171038287,-0.014872185333789995,0.00647538042326234
dynamic,ATT(-5),-5,0.007811145246333235,0.005290613047799616,-0.0033288720354398144,0.018951162528106285,-0.0025582657834916974,0.018180556276158166
dynamic,ATT(-4),-4,0.0011962391152020193,0.002784428816733208,-0.004666708119462128,0.007059186349866168,-0.004261141083110546,0.006653619313514584
dynamic,ATT(-3),-3,-0.0020756792901013093,0.0040178961164955285,-0.010535839156214484,0.006384480576011865,-0.009950610972055893,0.005799252391853273
dynamic,ATT(-2),-2,5.323744787065201e-4,0.005418467109858437,-0.010876854791925274,0.011941603749338312,-0.010087625908030851,0.01115237486544389
dynamic,ATT(-1),-1,0.006098916402883522,0.007877522541223885,-0.010488147601596779,0.02268598040736382,-0.009340744065317732,0.021538576871084777
dynamic,ATT(0),0,0.0013403098391925113,0.005265043168624736,-0.009745867009850443,0.012426486688235467,-0.008978985148360616,0.01165960482674564
dynamic,ATT(1),1,0.0275915684492467,0.027473783320872056,-0.030257761718170025,0.08544089861666343,-0.026256057378719763,0.08143919427721316
dynamic,ATT(2),2,0.0246748018908255,0.026761994831330082,-0.031675772649818905,0.0810253764314699,-0.027777744133028526,0.07712734791467953
dynamic,ATT(3),3,0.056275020252392616,0.03892471217039855,-0.02568560743831072,0.13823564794309595,-0.020016013710176445,0.13256605421496168
