type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,-0.028419908000923724,0.014710344326564049,-0.06508734268334905,0.008247526681501607,-0.05725165308117237,4.1183707932491986e-4
dynamic,ATT(-5),-5,0.005176615432065896,0.013737920144740725,-0.02906692628231863,0.03942015714645042,-0.021749213274113204,0.03210244413824499
dynamic,ATT(-4),-4,0.007345328816690942,0.011981379532478579,-0.02251980837246153,0.037210466005843414,-0.01613774355207242,0.030828401185454303
dynamic,ATT(-3),-3,-0.007653319280919871,0.009642897368951587,-0.031689487406968794,0.016382848845129055,-0.026553050830681026,0.011246412268841282
dynamic,ATT(-2),-2,0.005190173583907132,0.011609174225379864,-0.023747193766313096,0.03412754093412736,-0.01756338978808808,0.02794373695590234
dynamic,ATT(-1),-1,-0.008265092682714954,0.011896996609910294,-0.03791989453009046,0.02138970916466055,-0.03158277756233424,0.015052592196904335
dynamic,ATT(0),0,0.017071891364271216,0.014589124026737147,-0.019293386051987313,0.053437168780529745,-0.011522266294121553,0.04566604902266398
dynamic,ATT(1),1,0.030357689813685557,0.02964290226631316,-0.04353107570519975,0.10424645533257086,-0.02774133102552897,0.08845671065290009
dynamic,ATT(2),2,0.006792256154596103,0.03195044621577738,-0.07284836092979013,0.08643287323898233,-0.05582946771831162,0.06941398002750382
dynamic,ATT(3),3,0.0866385591878111,0.1526330155619555,-0.29381896133352164,0.46709607970914385,-0.2125166541653632,0.3857937725409854
