type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-0.012815159412184224,0.031596680856800424,-0.09676817752220022,0.07113785869783178,-0.07474351592251921,0.04911319709815077
dynamic,ATT(-10),-10,0.0074974065182067465,0.017978996756072473,-0.04027315036728369,0.05526796340369718,-0.027740779601857758,0.04273559263827125
dynamic,ATT(-9),-9,0.009537557784677284,0.012025795985196293,-0.0224152246201635,0.04149034018951807,-0.014032569231733821,0.03310768480108839
dynamic,ATT(-8),-8,-7.885323156897247e-4,0.010771188580670256,-0.02940779755046784,0.02783073291908839,-0.021899674004492525,0.020322609373113074
dynamic,ATT(-7),-7,0.0012749755504707688,0.012174383634744428,-0.031072607235143376,0.033622558336084914,-0.02258637790760214,0.025136329008543675
dynamic,ATT(-6),-6,-0.012590265137148364,0.01069907957570819,-0.04101793529183209,0.01583740501753536,-0.033560075773264496,0.008379545498967767
dynamic,ATT(-5),-5,0.0026227406104252864,0.009383078812198036,-0.022308288981520846,0.027553770202371416,-0.01576775592558373,0.0210132371464343
dynamic,ATT(-4),-4,-0.013396472149905976,0.00789238924588704,-0.03436670950787972,0.007573765208067771,-0.028865270823815806,0.0020723265240038553
dynamic,ATT(-3),-3,0.01165893313376369,0.009004057152329818,-0.012265028265823359,0.035582894533350735,-0.005988694599543031,0.02930656086707041
dynamic,ATT(-2),-2,0.005022998424011064,0.00851968445785811,-0.017613974960117126,0.027659971808139252,-0.011675276273036484,0.02172127312105861
dynamic,ATT(-1),-1,-0.014705924373290864,0.00897451292869463,-0.03855138617498874,0.009139537428407013,-0.03229564649232142,0.002883797745739691
dynamic,ATT(0),0,0.009933542730195621,0.014269644184069752,-0.02798118958102612,0.047848275041417365,-0.018034445942782536,0.037901531403173774
dynamic,ATT(1),1,0.005987364427787811,0.01582951063198904,-0.036071964486630276,0.048046693342205904,-0.025037906303804567,0.03701263515938019
dynamic,ATT(2),2,0.020708821855511265,0.01939943680141547,-0.03083587287032157,0.0722535165813441,-0.017313375595623955,0.05873101930664648
dynamic,ATT(3),3,0.027159914235255465,0.027961910800295718,-0.04713544654795283,0.10145527501846376,-0.02764442387224569,0.08196425234275662
dynamic,ATT(4),4,0.029288579638857264,0.027452993991810084,-0.04365457892308226,0.1022317382007968,-0.024518299852884982,0.08309545913059951
dynamic,ATT(5),5,-0.024853360881329098,0.06656719675247542,-0.20172374482517852,0.1520170230625203,-0.15532266906797254,0.10561594730531436
dynamic,ATT(6),6,0.018747379881204312,0.047509997309254696,-0.10748764089795515,0.14498240066036377,-0.07437050375052975,0.11186526351293838
