type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,0.006853315461001918,0.004473452684716528,-0.004080705082587588,0.017787336004591425,-0.001914490687586489,0.015621121609590324
dynamic,ATT(-5),-5,-4.178437770539518e-4,0.007854082166699031,-0.019614804561980413,0.018779117007872506,-0.015811561955402363,0.01497587440129446
dynamic,ATT(-4),-4,0.009561288581251437,0.004618717056957766,-0.0017277873842415584,0.02085036454674443,5.087694948333835e-4,0.018613807667669492
dynamic,ATT(-3),-3,-0.006010441452842994,0.007272083761911753,-0.023784880762126828,0.01176399785644084,-0.020263463718748577,0.008242580813062587
dynamic,ATT(-2),-2,-0.007732270549069733,0.00690376750033774,-0.024606470635002188,0.009141929536862721,-0.021263406207369814,0.00579886510923035
dynamic,ATT(-1),-1,0.007954400367839058,0.00682211814741778,-0.008720232232949827,0.024629032968627944,-0.005416705499376902,0.021325506235055018
dynamic,ATT(0),0,-0.0053873391115095235,0.00376590362169309,-0.014591967050338304,0.0038172888273192568,-0.012768374579276931,0.001993696356257884
dynamic,ATT(1),1,-0.002218351995395996,0.01219411503163131,-0.032023228376959686,0.027586524386167696,-0.02611837828073186,0.02168167428993987
dynamic,ATT(2),2,-0.005935998123927631,0.009707544595708882,-0.02966319488179793,0.01779119863394267,-0.024962435909833474,0.013090439661978214
dynamic,ATT(3),3,0.029627634267097726,0.043518562270598894,-0.07674050851440123,0.13599577704859667,-0.05566718044223972,0.11492244897643517
dynamic,ATT(4),4,-0.05637001741465837,0.04810597743643992,-0.1739507280269621,0.061210693197645355,-0.15065600063117707,0.037915965801860324
