type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-0.003985841284635459,0.009357996743609138,-0.028748554010598806,0.02077687144132789,-0.022327177869552472,0.014355495300281556
dynamic,ATT(-10),-10,0.018055438582737,0.01526632014824799,-0.02234161546323957,0.058452492628713576,-0.011865999084287232,0.047976876249761234
dynamic,ATT(-9),-9,-0.005703308963660173,0.009332601749706878,-0.030398822591792166,0.01899220466447182,-0.02399487227514114,0.012588254347820793
dynamic,ATT(-8),-8,0.001415312737578658,0.006584960543507886,-0.016009515536918116,0.01884014101207543,-0.011490972767314096,0.014321598242471412
dynamic,ATT(-7),-7,-4.8308162225081284e-4,0.006470080355251728,-0.017603919077170245,0.01663775583266862,-0.013164206095624315,0.012198042851122689
dynamic,ATT(-6),-6,-0.017668477552745695,0.008704307849421404,-0.04070142794362614,0.005364472838134751,-0.034728607447960934,-6.083476575304558e-4
dynamic,ATT(-5),-5,0.011437819642977355,0.009590247620743744,-0.013939464973574104,0.036815104259528816,-0.007358720296501321,0.03023435958245603
dynamic,ATT(-4),-4,0.0029437104030740928,0.007184831882513688,-0.016068470597366317,0.021955891403514505,-0.011138301321627849,0.017025722127776036
dynamic,ATT(-3),-3,-0.009155203102798817,0.007531130131306139,-0.029083743051345076,0.010773336845747444,-0.023915946923043253,0.005605540717445621
dynamic,ATT(-2),-2,0.0057131291238475814,0.00517363739544105,-0.007977118915520505,0.01940337716321567,-0.004427013840286484,0.015853272087981648
dynamic,ATT(-1),-1,0.001210736596945793,0.008126200181647555,-0.020292451122074676,0.02271392431596626,-0.014716323090246257,0.017137796284137842
dynamic,ATT(0),0,0.012893605422470521,0.006502171298026119,-0.0043121496509093225,0.030099360495850366,1.4958385702927741e-4,0.025637626987911763
dynamic,ATT(1),1,0.0031942064637892485,0.012554325581774254,-0.030026488773361518,0.036414901700940014,-0.021411819526678144,0.02780023245425664
dynamic,ATT(2),2,0.03498388690333776,0.022960453461397964,-0.02577303882553019,0.09574081263220571,-0.010017774949710262,0.07998554875638578
dynamic,ATT(3),3,0.050879829552456866,0.0266452682389205,-0.019627688347378637,0.12138734745229238,-0.0013439365542362927,0.10310359565915003
dynamic,ATT(4),4,0.07910708002235449,0.05071378203375459,-0.05508946333577584,0.2133036233804848,-0.020290106283618936,0.17850426632832792
dynamic,ATT(5),5,0.058401275228073535,0.04981405346439535,-0.07341444660331281,0.19021699705945988,-0.03923247548609404,0.1560350259422411
dynamic,ATT(6),6,0.20096336337665688,0.026526496926515167,0.13077013281520794,0.2711565939381058,0.14897238476467473,0.25295434198863903
