type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-0.023285331194561918,0.03250542027798547,-0.10939766436736882,0.06282700197824499,-0.08699478424175137,0.040424121852627545
dynamic,ATT(-10),-10,0.03883521064682575,0.024252411198950195,-0.02541351142929884,0.10308393272295033,-0.008698641841372493,0.08636906313502399
dynamic,ATT(-9),-9,0.021826905332386643,0.03340349416545605,-0.06666457683004402,0.1103183874948173,-0.04364274018970103,0.08729655085447431
dynamic,ATT(-8),-8,-0.011924936937807886,0.024819828195041048,-0.07767684220607167,0.0538269683304559,-0.0605709063025601,0.036721032426944335
dynamic,ATT(-7),-7,-0.027921974559637127,0.01687550029143479,-0.07262801715580117,0.016784068036526916,-0.060997347351944495,0.005153398232670244
dynamic,ATT(-6),-6,-0.017068057484230192,0.016485661064484024,-0.0607413503079586,0.026605235339498223,-0.049379359431953124,0.015243244463492737
dynamic,ATT(-5),-5,0.0012424620893302552,0.0159348203586596,-0.04097156092710322,0.043456485105763734,-0.029989211913758182,0.03247413609241869
dynamic,ATT(-4),-4,-0.015071958227713938,0.016820591686239932,-0.05963253868051366,0.029488622225085786,-0.04803971213139806,0.017895795675970178
dynamic,ATT(-3),-3,-0.02413235568394277,0.017376827158713623,-0.07016649758952666,0.021901786221641115,-0.058190311080598946,0.009925599712713402
dynamic,ATT(-2),-2,0.01656859264515682,0.017269889814059736,-0.029182254223085635,0.06231943951339927,-0.017279769407375387,0.05041695469768903
dynamic,ATT(-1),-1,0.03535228376917778,0.014365079848046414,-0.0027032322447690244,0.07340779978312459,0.007197244631964705,0.06350732290639086
dynamic,ATT(0),0,0.00911515580853322,0.018109533122948288,-0.038860047605263494,0.05709035922232993,-0.02637887688928059,0.04460918850634703
dynamic,ATT(1),1,0.014997483639522038,0.026182156119611773,-0.05436345775650116,0.08435842503554523,-0.036318599392522,0.06631356667156607
dynamic,ATT(2),2,0.04186871296611321,0.0467460925371427,-0.08196955956382349,0.1657069854960499,-0.04975194482466306,0.1334893707568895
dynamic,ATT(3),3,0.02681693218947142,0.05852340671251255,-0.12822142923262844,0.1818552936115713,-0.0878868372196428,0.14152070159858562
dynamic,ATT(4),4,-0.0157300663316018,0.07889488663333405,-0.2247359092125707,0.19327577654936712,-0.170361202697307,0.13890107003410343
dynamic,ATT(5),5,0.028078097087197565,0.21215184670856027,-0.5339478773736385,0.5901040715480336,-0.3877318817152429,0.443888075889638
dynamic,ATT(6),6,0.18531475180328993,0.08835005629041218,-0.048739428024337506,0.4193689316309174,0.012151823441995668,0.3584776801645842
