type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,-0.0021401658482428465,0.028071062295443688,-0.07731337617304616,0.07303304447656046,-0.05715843695509272,0.05287810525860703
dynamic,ATT(-10),-10,0.023351852197047582,0.0240047189919614,-0.04093184930944695,0.0876355537035421,-0.02369653248620138,0.07040023688029655
dynamic,ATT(-9),-9,0.040547518596424734,0.036475551333500056,-0.05713258567777016,0.13822762287061963,-0.030943248333477308,0.11203828552632678
dynamic,ATT(-8),-8,-0.015065301829704579,0.029391243328674984,-0.09377390548709372,0.06364330182768455,-0.07267108021476067,0.04254047655535151
dynamic,ATT(-7),-7,-0.026837361945825863,0.021439693648020244,-0.08425202559265103,0.030577301700999312,-0.0688583893355177,0.015183665443865974
dynamic,ATT(-6),-6,-0.02103515436313703,0.017876504276497448,-0.06890773580325985,0.02683742707698578,-0.056072458914548276,0.014002150188274217
dynamic,ATT(-5),-5,-0.01093746479547427,0.01668665886388384,-0.05562368661318538,0.03374875702223684,-0.043642715190992644,0.021767785600044103
dynamic,ATT(-4),-4,5.507239383311114e-4,0.015591936192436965,-0.041203873248937574,0.042305321125599794,-0.030008909448091915,0.031110357324754135
dynamic,ATT(-3),-3,-0.012536701958171923,0.012445389376212843,-0.04586496945676156,0.020791565540417715,-0.0369292169091265,0.011855812992782653
dynamic,ATT(-2),-2,0.006296041706710984,0.016520852531417305,-0.03794615721751262,0.05053824063093459,-0.026084234248764306,0.03867631766218627
dynamic,ATT(-1),-1,0.019457050467092424,0.014948238027856478,-0.020573748133488896,0.059487849067673744,-0.009840957699838313,0.04875505863402316
dynamic,ATT(0),0,-0.030099405192124767,0.015381359371413337,-0.07129008586317001,0.01109127547892048,-0.06024631559336255,4.75052091130114e-5
dynamic,ATT(1),1,-0.03143276330485674,0.02342183445285804,-0.09415552274254309,0.03128999613282961,-0.07733871528431788,0.014473188674604405
dynamic,ATT(2),2,-0.019346384125145076,0.03697946579041507,-0.11837595166712409,0.07968318341683395,-0.0918248052418896,0.05313203699159944
dynamic,ATT(3),3,-0.0512088389774332,0.04582421197900225,-0.1739242919521159,0.07150661399724947,-0.14102264407620652,0.0386049661213401
dynamic,ATT(4),4,-0.07132724606069804,0.06056392769904239,-0.2335150830260014,0.09086059090460533,-0.1900303631131089,0.047375870991712796
dynamic,ATT(5),5,-0.04492136601722421,0.09468729172312526,-0.2984902413548648,0.2086475093204164,-0.23050504758818724,0.14066231555373881
dynamic,ATT(6),6,0.013407097755123878,0.09349846188283485,-0.23697813762318898,0.26379233313343675,-0.16984652014512344,0.19666071565537122
dynamic,ATT(7),7,-0.19296204181533858,0.10230631488332308,-0.46693436410710687,0.08101028047642969,-0.3934787343776659,0.007554650746988717
