type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-11),-11,3.749438308640157e-4,0.007615949072539146,-0.019605573424753102,0.020355461086481133,-0.014552042059403934,0.015301929721131965
dynamic,ATT(-10),-10,0.021153952143980706,0.01396988900035545,-0.015496188970683784,0.057804093258645196,-0.006226527164738226,0.04853443145269964
dynamic,ATT(-9),-9,-7.456126508225585e-4,0.008635803432341861,-0.023401727844420735,0.021910502542775618,-0.017671476355779984,0.016180251054134866
dynamic,ATT(-8),-8,-0.0023029456070031867,0.00899205615317931,-0.025893693315637345,0.02128780210163097,-0.019927051814196413,0.015321160600190039
dynamic,ATT(-7),-7,-0.003478743429352703,0.00937632535239211,-0.02807762515943899,0.021120138300733587,-0.021856003427371064,0.01489851656866566
dynamic,ATT(-6),-6,-0.00256402899864633,0.008504539022605315,-0.02487577072298823,0.019747712725695567,-0.01923261918806822,0.014104561190775558
dynamic,ATT(-5),-5,-0.0028039163953702084,0.008260637240384163,-0.02447577939653142,0.018867946605791,-0.018994467875873507,0.013386635085133089
dynamic,ATT(-4),-4,0.004961913978923121,0.006632196193391438,-0.012437717928084312,0.022361545885930555,-0.00803695169852774,0.01796077965637398
dynamic,ATT(-3),-3,-0.003794815513180586,0.008556845701612121,-0.02624378432406484,0.01865415329770367,-0.02056592490960671,0.012976293883245537
dynamic,ATT(-2),-2,0.011031907985711515,0.007046294320075528,-0.007454114427183545,0.029517930398606576,-0.002778575106105666,0.024842391077528697
dynamic,ATT(-1),-1,-0.003628793728948261,0.007439507790708528,-0.023146415547287396,0.015888828089390874,-0.01820996106144212,0.010952373603545597
dynamic,ATT(0),0,0.012190788833798023,0.007855051961233595,-0.008417017200659965,0.03279859486825601,-0.0032048301069105348,0.02758640777450658
dynamic,ATT(1),1,0.011213694457824401,0.011725601817721493,-0.01954853717214236,0.04197592608779117,-0.011768062801967112,0.03419545171761591
dynamic,ATT(2),2,0.01590873936601998,0.015424370935977235,-0.024557249404120688,0.05637472813616065,-0.014322472152681759,0.04613995088472172
dynamic,ATT(3),3,0.020138376926831226,0.02496989325012146,-0.04537038346573702,0.08564713731939946,-0.028801714541216623,0.06907846839487908
dynamic,ATT(4),4,0.01507141810072933,0.03206588540125581,-0.06905374745304015,0.09919658365449881,-0.04777656241812074,0.0779193986195794
dynamic,ATT(5),5,0.04388955213643464,0.02720699883115074,-0.027488276738427242,0.11526738101129652,-0.009435185700044146,0.09721428997291343
dynamic,ATT(6),6,0.06553125441390109,0.025289327614917947,-8.155451747099141e-4,0.1318780540025121,0.0159650830954277,0.11509742573237448
