type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-6),-6,-0.021906738272677834,0.010608744483317169,-0.045306280720717115,0.001492804175361448,-0.04269949538116746,-0.0011139811641882012
dynamic,ATT(-5),-5,0.011961758129850453,0.010828876841622596,-0.011923326831768551,0.03584684309146946,-0.009262450472749682,0.033185966732450584
dynamic,ATT(-4),-4,-9.251350150951518e-4,0.008314845982669529,-0.019265061273696857,0.017414791243506554,-0.017221933678124978,0.015371663647934675
dynamic,ATT(-3),-3,-0.01028881870432087,0.005835378450590844,-0.023159822051578308,0.0025821846429365664,-0.021725950303640065,0.001148312894998324
dynamic,ATT(-2),-2,0.004099446198610843,0.007176123497710662,-0.011728817613484266,0.01992771001070595,-0.009965497405513652,0.01816438980273534
dynamic,ATT(-1),-1,-0.004028654058788817,0.01328067139248231,-0.03332162406815613,0.025264315950578497,-0.03005829167856555,0.022000983560987914
dynamic,ATT(0),0,-9.670016767329278e-4,0.00840924073229336,-0.019515132964135953,0.017581129610670095,-0.01744881064935514,0.015514807295889284
dynamic,ATT(1),1,-0.006846430080567269,0.013421408902772977,-0.0364498226240296,0.02275696246289506,-0.03315190815178754,0.019459047990653004
dynamic,ATT(2),2,-0.0171039381554093,0.01677585771263441,-0.05410618618451005,0.019898309873691445,-0.049984015081941224,0.01577613877112263
dynamic,ATT(3),3,0.031155859410042723,0.0904942862574737,-0.16844597810397202,0.23075769692405748,-0.14620968246126365,0.2085214012813491
